,image_name,encoder_type,encoder_args,encoder_name,num_bytes,mse,ssim,psnr
238,sunrise.JPG,YChrDctNonTile,"(16, 16, 8)","KnockOffJpeg: YQ: 0.16, CQ: 1.3, CDiv: 8",209040,10.534680266203704,0.7592380102887432,34.63934271275445
239,sunrise.JPG,YChrDctNonTile,"(23, 23, 8)","KnockOffJpeg: YQ: 0.23, CQ: 1.8, CDiv: 8",309240,10.283253761574073,0.7661806666311701,34.74881677097148
240,radio_testing.jpg,YChrDctNonTile,"(0, 0, 8)","KnockOffJpeg: YQ: 0.0, CQ: 0.0, CDiv: 8",0,97.2195142505787,0.0709292095932569,1.2791459765385973
241,radio_testing.jpg,YChrDctNonTile,"(1, 1, 8)","KnockOffJpeg: YQ: 0.01, CQ: 0.08, CDiv: 8",1008,90.14030128761574,0.3683970516521799,17.17122575139408
242,radio_testing.jpg,YChrDctNonTile,"(1, 1, 8)","KnockOffJpeg: YQ: 0.01, CQ: 0.08, CDiv: 8",1008,90.14030128761574,0.3683970516521799,17.17122575139408
243,radio_testing.jpg,YChrDctNonTile,"(2, 2, 8)","KnockOffJpeg: YQ: 0.02, CQ: 0.16, CDiv: 8",4200,83.24144458912038,0.3820898127615065,18.843268882888175
244,radio_testing.jpg,YChrDctNonTile,"(3, 3, 8)","KnockOffJpeg: YQ: 0.03, CQ: 0.24, CDiv: 8",9576,80.92280562789352,0.3796141473100502,19.525122169788876
245,radio_testing.jpg,YChrDctNonTile,"(5, 5, 8)","KnockOffJpeg: YQ: 0.05, CQ: 0.4, CDiv: 8",27648,75.81981119791666,0.3847322506135376,20.595876680507637
246,radio_testing.jpg,YChrDctNonTile,"(7, 7, 8)","KnockOffJpeg: YQ: 0.07, CQ: 0.56, CDiv: 8",53400,71.41800708912037,0.3988357146462202,21.521836731029147
247,radio_testing.jpg,YChrDctNonTile,"(11, 11, 8)","KnockOffJpeg: YQ: 0.11, CQ: 0.88, CDiv: 8",132720,67.33210141782408,0.43094009649168613,22.394460700505118
248,radio_testing.jpg,YChrDctNonTile,"(16, 16, 8)","KnockOffJpeg: YQ: 0.16, CQ: 1.3, CDiv: 8",209040,63.99224392361111,0.4921056702260594,23.377257108636908
249,radio_testing.jpg,YChrDctNonTile,"(23, 23, 8)","KnockOffJpeg: YQ: 0.23, CQ: 1.8, CDiv: 8",309240,58.91319299768519,0.6216802756083321,24.862327596411916
250,alex_and_lotus.JPG,YChrDctNonTile,"(0, 0, 8)","KnockOffJpeg: YQ: 0.0, CQ: 0.0, CDiv: 8",0,107.4166724537037,0.13129436859824326,0.38120605100863075
251,alex_and_lotus.JPG,YChrDctNonTile,"(1, 1, 8)","KnockOffJpeg: YQ: 0.01, CQ: 0.08, CDiv: 8",1008,79.004326171875,0.5078442528555968,17.094953761626247
252,alex_and_lotus.JPG,YChrDctNonTile,"(1, 1, 8)","KnockOffJpeg: YQ: 0.01, CQ: 0.08, CDiv: 8",1008,79.004326171875,0.5078442528555968,17.094953761626247
253,alex_and_lotus.JPG,YChrDctNonTile,"(2, 2, 8)","KnockOffJpeg: YQ: 0.02, CQ: 0.16, CDiv: 8",4200,72.35678674768519,0.5209866911067595,19.118315290391767
254,alex_and_lotus.JPG,YChrDctNonTile,"(3, 3, 8)","KnockOffJpeg: YQ: 0.03, CQ: 0.24, CDiv: 8",9576,65.30015263310185,0.544975922101648,20.962961711790445
255,alex_and_lotus.JPG,YChrDctNonTile,"(5, 5, 8)","KnockOffJpeg: YQ: 0.05, CQ: 0.4, CDiv: 8",27648,55.804797453703706,0.5557867259207461,22.3023652410699
256,alex_and_lotus.JPG,YChrDctNonTile,"(7, 7, 8)","KnockOffJpeg: YQ: 0.07, CQ: 0.56, CDiv: 8",53400,51.919826388888886,0.5663919260283167,22.944537806340108
257,alex_and_lotus.JPG,YChrDctNonTile,"(11, 11, 8)","KnockOffJpeg: YQ: 0.11, CQ: 0.88, CDiv: 8",132720,46.96270652488426,0.5976545614990242,23.9804465242879
258,alex_and_lotus.JPG,YChrDctNonTile,"(16, 16, 8)","KnockOffJpeg: YQ: 0.16, CQ: 1.3, CDiv: 8",209040,41.975686125578704,0.6416231635014911,24.889114281217935
259,alex_and_lotus.JPG,YChrDctNonTile,"(23, 23, 8)","KnockOffJpeg: YQ: 0.23, CQ: 1.8, CDiv: 8",309240,38.32875831886574,0.6981276681429041,25.793282586892726
260,rocket_and_streamer_wide.jpg,YChrDctNonTile,"(0, 0, 8)","KnockOffJpeg: YQ: 0.0, CQ: 0.0, CDiv: 8",0,111.28323025173611,0.12698103638998498,0.11282240122088538
261,rocket_and_streamer_wide.jpg,YChrDctNonTile,"(1, 1, 8)","KnockOffJpeg: YQ: 0.01, CQ: 0.08, CDiv: 8",1008,83.4336205150463,0.39870351887425654,13.646249826634683
262,rocket_and_streamer_wide.jpg,YChrDctNonTile,"(1, 1, 8)","KnockOffJpeg: YQ: 0.01, CQ: 0.08, CDiv: 8",1008,83.4336205150463,0.39870351887425654,13.646249826634683
263,rocket_and_streamer_wide.jpg,YChrDctNonTile,"(2, 2, 8)","KnockOffJpeg: YQ: 0.02, CQ: 0.16, CDiv: 8",4200,72.06827473958333,0.44109566177510845,16.84883971162992
264,rocket_and_streamer_wide.jpg,YChrDctNonTile,"(3, 3, 8)","KnockOffJpeg: YQ: 0.03, CQ: 0.24, CDiv: 8",9576,66.69661747685186,0.4648842126797857,18.490446361000394
